Date,Open,high,low,count
2020.02.03 07:00,1580.83,1581.19,1580.24,1580.38
2020.02.03 07:15,1580.37,1580.54,1579.22,1580.42
2020.02.03 07:30,1580.42,1580.91,1579.85,1580.29
2020.02.03 07:45,1580.29,1580.43,1579.49,1579.67
2020.02.03 08:00,1579.67,1580.79,1579.39,1580.67
2020.02.03 08:15,1580.64,1580.78,1579.47,1579.47
2020.02.03 08:30,1579.48,1580.32,1578.97,1580.3
2020.02.03 08:45,1580.29,1580.45,1579.08,1579.28
2020.02.03 09:00,1579.28,1579.84,1577.21,1578.08
2020.02.03 09:15,1578.09,1578.23,1575.15,1575.39
2020.02.03 09:30,1575.37,1576.26,1573.86,1574.28
2020.02.03 09:45,1574.28,1576.66,1574.08,1576.39
2020.02.03 10:00,1576.31,1578.29,1575.34,1577.83
2020.02.03 10:15,1577.87,1579.62,1577.59,1578.4
2020.02.03 10:30,1578.45,1578.78,1576.64,1576.67
2020.02.03 10:45,1576.67,1576.69,1573.37,1575.61
2020.02.03 11:00,1575.59,1576.88,1574.85,1575.34
2020.02.03 11:15,1575.38,1577.63,1575.2,1577.02
2020.02.03 11:30,1577.02,1578.2,1576.74,1578.19
2020.02.03 11:45,1578.17,1578.92,1577.37,1578.82
2020.02.03 12:00,1578.82,1579.31,1577.58,1578.02
2020.02.03 12:15,1578.02,1578.61,1577.23,1577.48
2020.02.03 12:30,1577.48,1579.34,1577.48,1579.22
2020.02.03 12:45,1579.22,1580.84,1578.7,1580.82
2020.02.03 13:00,1580.82,1581.15,1578.95,1579.31
2020.02.03 13:15,1579.32,1579.5,1578.59,1579.28
2020.02.03 13:30,1579.28,1580.28,1578.71,1578.94
2020.02.03 13:45,1578.96,1579.01,1577.94,1578.12
2020.02.03 14:00,1578.17,1579.49,1577.77,1579.39
2020.02.03 14:15,1579.28,1579.6,1578.77,1578.81
2020.02.03 14:30,1578.83,1579.56,1578.5,1578.88
2020.02.03 14:45,1578.88,1580.07,1578.78,1579.6
2020.02.03 15:00,1579.6,1579.88,1577.86,1578.45
2020.02.03 15:15,1578.47,1578.49,1576.05,1576.74
2020.02.03 15:30,1576.85,1578.31,1576.43,1577.75
2020.02.03 15:45,1577.75,1578.7,1577.4,1578.38
2020.02.03 16:00,1578.38,1579.21,1578.19,1578.71
2020.02.03 16:15,1578.64,1579.36,1578.04,1579.11
2020.02.03 16:30,1579.11,1580.38,1577.35,1578
2020.02.03 16:45,1577.88,1577.96,1574.26,1574.84
2020.02.03 17:00,1574.78,1576.29,1569.74,1573.51
2020.02.03 17:15,1573.41,1575,1571.75,1572.31
2020.02.03 17:30,1572.28,1573.93,1571.23,1573.38
2020.02.03 17:45,1573.37,1576.12,1572.85,1575.57
2020.02.03 18:00,1575.56,1576.14,1574.29,1576.08
2020.02.03 18:15,1576.12,1577.71,1575.64,1576.99
2020.02.03 18:30,1576.93,1578.93,1576.18,1578.37
2020.02.03 18:45,1578.39,1579.67,1577.84,1578.07
2020.02.03 19:00,1578.11,1578.57,1577.18,1577.22
2020.02.03 19:15,1577.22,1577.31,1575.76,1576.85
2020.02.03 19:30,1576.83,1577.19,1576.14,1576.26
2020.02.03 19:45,1576.25,1577.1,1574.68,1575.51
2020.02.03 20:00,1575.48,1577.75,1575.11,1577.53
2020.02.03 20:15,1577.48,1578.45,1577.22,1577.96
2020.02.03 20:30,1577.95,1578.47,1576.6,1577.31
2020.02.03 20:45,1577.32,1577.68,1576.24,1576.45
2020.02.03 21:00,1576.48,1577.38,1576.41,1576.67
2020.02.03 21:15,1576.67,1577.08,1575.72,1576.98
2020.02.03 21:30,1577.01,1578.02,1576.77,1577.11
2020.02.03 21:45,1577.09,1577.73,1576.78,1577.66
2020.02.03 22:00,1577.67,1577.89,1576.67,1576.8
2020.02.03 22:15,1576.8,1577.2,1575.79,1575.8
2020.02.03 22:30,1575.79,1576.23,1575.55,1576.2
2020.02.03 22:45,1576.21,1577.03,1575.97,1576.14
2020.02.03 23:00,1576.18,1577.1,1576.18,1576.51
2020.02.03 23:15,1576.49,1576.82,1576.42,1576.75
2020.02.03 23:30,1576.8,1577.13,1576.68,1576.93
2020.02.03 23:45,1576.92,1577.09,1576.22,1576.44
2020.02.04 01:00,1578.06,1579.22,1577.95,1579.02
2020.02.04 01:15,1579.02,1579.04,1578.19,1578.88
2020.02.04 01:30,1578.86,1578.99,1578.32,1578.6
2020.02.04 01:45,1578.55,1579.05,1578.17,1578.72
2020.02.04 02:00,1578.72,1579.51,1577.23,1577.65
2020.02.04 02:15,1577.62,1578.38,1577.49,1577.58
2020.02.04 02:30,1577.46,1578.36,1577.27,1578.2
2020.02.04 02:45,1578.28,1578.54,1577.7,1578.35
2020.02.04 03:00,1578.32,1579,1575.13,1577.11
2020.02.04 03:15,1577.12,1577.61,1575.86,1576.32
2020.02.04 03:30,1576.29,1576.65,1573.82,1575.18
2020.02.04 03:45,1575.08,1576.44,1574.86,1575.67
2020.02.04 04:00,1575.67,1576.64,1575.58,1576.43
2020.02.04 04:15,1576.4,1577.65,1576.23,1576.69
2020.02.04 04:30,1576.71,1577.31,1576.27,1576.62
2020.02.04 04:45,1576.67,1576.99,1576.14,1576.44
2020.02.04 05:00,1576.44,1577.28,1576.25,1576.5
2020.02.04 05:15,1576.51,1576.77,1575.84,1576.21
2020.02.04 05:30,1576.21,1576.21,1574.33,1574.94
2020.02.04 05:45,1574.94,1575.6,1574.35,1575.39
2020.02.04 06:00,1575.42,1576.04,1574.8,1575.68
2020.02.04 06:15,1575.74,1575.75,1574.51,1574.95
